strategy	promptFile	answerFile	source	target	depth	answer	correct	inTokens	outTokens
gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/prompts/1/yes/0.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/results/1/yes/0.txt	m7	m8	1	YES	true	276	51
gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/prompts/1/no/0.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/results/1/no/0.txt	m11	m5	1	NO	true	276	84
gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/prompts/1/yes/1.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/results/1/yes/1.txt	m1	m2	1	YES	true	276	52
gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/prompts/1/no/1.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/results/1/no/1.txt	m11	m6	1	NO	true	276	17
gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/prompts/1/yes/2.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/results/1/yes/2.txt	m8	m9	1	YES	true	276	39
gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/prompts/1/no/2.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/results/1/no/2.txt	m11	m2	1	NO	true	276	65
gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/prompts/1/yes/3.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/results/1/yes/3.txt	m6	m7	1	YES	true	276	42
gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/prompts/1/no/3.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/results/1/no/3.txt	m11	m9	1	YES	false	276	99
gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/prompts/1/yes/4.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/results/1/yes/4.txt	m2	m3	1	YES	true	276	127
gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/prompts/1/no/4.txt	dataset/gpt-3.5-turbo-0125-100-true-NATURAL-SYCOPHANCY-10-384/results/1/no/4.txt	m11	m9	1	NO	true	276	33
